year,rank,team,G,W,T,D,WR,PW,R/G,RS,RA,BA,OBP,SLG,OOBP,OSLG,OPS
2015,1,삼성,144,88,0,56,0.611,0.601,6.23,897,716,0.302,0.378,0.469,0.332,0.441,0.847
2015,2,NC,144,84,3,57,0.596,0.613,5.86,844,655,0.289,0.367,0.455,0.336,0.409,0.822
2015,3,두산,144,79,0,65,0.549,0.518,5.6,807,776,0.29,0.37,0.435,0.362,0.422,0.805
2015,4,넥센,144,78,1,65,0.545,0.561,6.28,904,790,0.298,0.372,0.486,0.355,0.427,0.858
2015,5,SK,144,69,2,73,0.486,0.48,4.81,693,724,0.272,0.349,0.41,0.349,0.427,0.759
2015,6,한화,144,68,0,76,0.472,0.45,4.98,717,800,0.271,0.36,0.404,0.368,0.424,0.764
2015,7,KIA,144,67,0,77,0.465,0.44,4.5,648,739,0.251,0.326,0.392,0.366,0.436,0.718
2015,8,롯데,144,66,1,77,0.462,0.479,5.31,765,802,0.28,0.356,0.446,0.361,0.444,0.802
2015,9,LG,144,64,2,78,0.451,0.455,4.54,653,721,0.269,0.339,0.399,0.352,0.411,0.738
2015,10,kt,144,52,1,91,0.364,0.381,4.65,670,875,0.273,0.345,0.402,0.382,0.46,0.747
2016,1,두산,144,93,1,50,0.65,0.64,6.49,935,682,0.298,0.378,0.473,0.35,0.422,0.851
2016,2,NC,144,83,3,58,0.589,0.597,5.95,857,690,0.291,0.375,0.45,0.343,0.398,0.825
2016,3,넥센,144,77,1,66,0.538,0.532,5.65,813,757,0.293,0.368,0.44,0.354,0.444,0.808
2016,4,LG,144,71,2,71,0.5,0.488,5.46,786,807,0.29,0.361,0.417,0.363,0.415,0.778
2016,5,KIA,144,70,1,73,0.49,0.51,5.58,803,785,0.286,0.358,0.452,0.364,0.423,0.81
2016,6,SK,144,69,0,75,0.479,0.482,5.23,753,784,0.291,0.356,0.454,0.355,0.427,0.81
2016,7,한화,144,66,3,75,0.468,0.457,5.74,826,908,0.289,0.362,0.43,0.381,0.441,0.792
2016,8,롯데,144,66,0,78,0.458,0.451,5.4,777,865,0.288,0.37,0.422,0.376,0.461,0.792
2016,9,삼성,144,65,1,78,0.455,0.491,5.92,852,869,0.293,0.367,0.439,0.368,0.467,0.806
2016,10,kt,144,53,2,89,0.373,0.358,4.67,672,927,0.276,0.345,0.394,0.384,0.471,0.739
2017,1,KIA,144,87,1,56,0.608,0.589,6.29,906,743,0.302,0.37,0.469,0.357,0.433,0.839
2017,2,두산,144,84,3,57,0.596,0.601,5.9,849,678,0.294,0.369,0.459,0.349,0.414,0.828
2017,3,롯데,144,80,2,62,0.563,0.526,5.16,743,701,0.285,0.356,0.433,0.343,0.428,0.789
2017,4,NC,144,79,3,62,0.56,0.524,5.46,786,745,0.293,0.365,0.443,0.342,0.416,0.808
2017,5,SK,144,75,1,68,0.524,0.496,5.28,761,767,0.271,0.341,0.465,0.36,0.441,0.806
2017,6,LG,144,69,3,72,0.489,0.515,4.85,699,677,0.281,0.348,0.4,0.328,0.404,0.748
2017,7,넥센,144,69,2,73,0.486,0.515,5.48,789,764,0.29,0.357,0.437,0.351,0.443,0.794
2017,8,한화,144,61,2,81,0.43,0.452,5.12,737,820,0.287,0.35,0.435,0.359,0.454,0.785
2017,9,삼성,144,55,5,84,0.396,0.417,5.26,757,911,0.279,0.34,0.428,0.377,0.475,0.768
2017,10,kt,144,50,0,94,0.347,0.371,4.55,655,876,0.275,0.332,0.41,0.364,0.471,0.742
2018,1,두산,144,93,0,51,0.646,0.6,6.56,944,756,0.309,0.376,0.486,0.351,0.43,0.862
2018,2,SK,144,78,1,65,0.545,0.558,5.76,829,729,0.281,0.356,0.473,0.335,0.437,0.829
2018,3,한화,144,77,0,67,0.535,0.48,5.06,729,761,0.275,0.341,0.422,0.349,0.432,0.763
2018,4,넥센,144,75,0,69,0.521,0.525,5.73,825,780,0.288,0.355,0.448,0.349,0.448,0.803
2018,5,KIA,144,70,0,74,0.486,0.521,6.01,865,826,0.295,0.367,0.457,0.358,0.463,0.824
2018,6,삼성,144,68,4,72,0.486,0.485,5.39,776,802,0.288,0.355,0.432,0.355,0.462,0.787
2018,7,롯데,144,68,2,74,0.479,0.486,5.7,821,846,0.289,0.356,0.471,0.355,0.446,0.827
2018,8,LG,144,68,1,75,0.476,0.484,5.47,788,816,0.293,0.353,0.445,0.351,0.439,0.798
2018,9,kt,144,59,3,82,0.418,0.456,5.26,757,834,0.275,0.34,0.456,0.365,0.481,0.796
2018,10,NC,144,58,1,85,0.406,0.39,4.58,660,844,0.261,0.329,0.404,0.362,0.458,0.733